id,city,lat,lng,country,iso2,capital
474,Lübbecke,52.3081,8.6231,Germany,DE,
475,Rinteln,52.1906,9.0814,Germany,DE,
476,Brilon,51.3956,8.5678,Germany,DE,
477,Staßfurt,51.8667,11.5667,Germany,DE,
478,Zittau,50.8961,14.8072,Germany,DE,
479,Plettenberg,51.2128,7.8715,Germany,DE,
480,Groß-Gerau,49.9214,8.4818,Germany,DE,minor
481,Schleswig,54.5153,9.5697,Germany,DE,minor
482,Geretsried,47.8667,11.4667,Germany,DE,
483,Rottweil,48.1681,8.6247,Germany,DE,minor
484,Friedrichsdorf,50.2569,8.6418,Germany,DE,
485,Petershagen,52.3833,8.9667,Germany,DE,
486,Pfungstadt,49.8056,8.6044,Germany,DE,
487,Bad Oldesloe,53.8117,10.3742,Germany,DE,minor
488,Olpe,51.0289,7.8514,Germany,DE,minor
489,Rathenow,52.6,12.3333,Germany,DE,minor
490,Senftenberg,51.5167,14.0167,Germany,DE,minor
491,Meiningen,50.55,10.4167,Germany,DE,minor
492,Waldshut-Tiengen,47.6231,8.2144,Germany,DE,minor
493,Sonneberg,50.35,11.1667,Germany,DE,minor
494,Salzwedel,52.85,11.15,Germany,DE,minor
495,Calw,48.7144,8.7375,Germany,DE,minor
496,Korbach,51.2719,8.8731,Germany,DE,minor
497,Starnberg,47.9972,11.3406,Germany,DE,minor
498,Freudenstadt,48.4633,8.4111,Germany,DE,minor
499,Mosbach,49.35,9.1333,Germany,DE,minor
500,Husum,54.4769,9.0511,Germany,DE,minor
501,Westerstede,53.25,7.9167,Germany,DE,minor
502,Burg,52.2725,11.855,Germany,DE,minor
503,Weilheim,47.8333,11.1333,Germany,DE,minor
504,Bad Kissingen,50.2,10.0667,Germany,DE,minor
505,Stadthagen,52.3247,9.2069,Germany,DE,minor
